"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
postmed_fungal_1,medikamentenbogen_postpartal,,text,"Wie heißt das 1. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 1. Medikament'"
postmed_fungal_dose1,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?
",,"Die Tagesdosis ist die über den gesamten Tag verabreichte Dosis eines Medikaments.  Wurden z.B.  zwei Zäpfchen zu je 75 mg verabreicht, ergibt sich eine Tagesdosis von 150 mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_fungal_form1,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des 1.Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_fungal_days1,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 1.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_fungal_duration1,medikamentenbogen_postpartal,,radio,"Wie oft wird das 1.Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_fungal_dur1_exact,medikamentenbogen_postpartal,,text,"Wenn das 1.Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_fungal_2,medikamentenbogen_postpartal,,text,"Wie heißt das 2. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 2. Medikament'"
postmed_fungal_dose2,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_fungal_form2,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_fungal_days2,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 2.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_fungal_duration2,medikamentenbogen_postpartal,,radio,"Wie oft wird das Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_fungal_dur2_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_fungal_3,medikamentenbogen_postpartal,,text,"Wie heißt das 3. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 3. Medikament'"
postmed_fungal_dose3,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_fungal_form3,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des 3.Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_fungal_days3,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 3.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_fungal_duration3,medikamentenbogen_postpartal,,radio,"Wie oft wird das 3.Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_fungal_dur3_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_fungal_4,medikamentenbogen_postpartal,,text,"Wie heißt das 4. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 4. Medikament'"
postmed_fungal_dose4,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_fungal_form4,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_fungal_days4,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 4.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_fungal_duration4,medikamentenbogen_postpartal,,radio,"Wie oft wird das Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_fungal_dur4_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_fungal_5,medikamentenbogen_postpartal,,text,"Wie heißt das 5. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 5. Medikament'"
postmed_fungal_dose5,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_fungal_form5,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_fungal_days5,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 5.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_fungal_duration5,medikamentenbogen_postpartal,,radio,"Wie oft wird das Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_fungal_dur5_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_other_embed,medikamentenbogen_postpartal,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 322px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 66.6668%; height: 21px;"" colspan=""6"">9. Nahrungsergänzungsmittel ( Vitamine/Minerallien )</td> </tr> <tr> <td style=""width: 50.0001%;"" colspan=""6""><span style=""font-weight: normal;"">{postmed_other}</span></td> </tr> <tr> <td style=""width: 50.0001%;"" colspan=""3"">Vitamin D <span style=""font-weight: normal;"">(z.B. Vigantoletten, D-Fluoretten, Dechristol)</span> </td> <td style=""width: 54.5752%;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_vit_d}</span></td> </tr> <tr> <td style=""width: 50.0001%;"" colspan=""3"">Fluoridtabletten </td> <td style=""width: 54.5752%;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_fluorid}</span></td> </tr> <tr> <td style=""width: 50.0001%;"" colspan=""3"">Andere Vitamine/Mineralien</td> <td style=""width: 54.5752%;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_vita}</span></td> </tr> <tr> <td style=""width: 104.575%;"" colspan=""6"">Wenn <span style=""font-weight: normal;"">Sie „</span>Ja<span style=""font-weight: normal;"">“ angekreuzt haben, geben Sie im Folgenden bitte an, welches Medikament/Präparat in welcher Dosis und über welchen Zeitraum eingenommen wurde.</span></td> </tr> <tr style=""height: 65px;""> <td style=""width: 16.6667%; height: 174px;"" rowspan=""2""><span style=""font-weight: normal;"">Medikament</span><br /><br /></td> <td style=""width: 16.6667%; height: 174px;"" rowspan=""2""><span style=""font-weight: normal;"">Tagesdosis*</span><br /><span style=""font-weight: normal;"">(möglichst in mg)</span><br /><br /></td> <td style=""width: 16.6667%; height: 174px;"" rowspan=""2""><span style=""font-weight: normal;"">Darreichungsform</span><br /><span style=""font-weight: normal;"">(Zäpfchen, Tablette,</span><br /><span style=""font-weight: normal;"">Saft etc.) </span><br /><br /></td> <td style=""width: 16.6667%; height: 174px;"" rowspan=""2""><span style=""font-weight: normal;"">Dauer in Tagen</span><br /><br /></td> <td style=""height: 65px; width: 37.9085%;"" colspan=""2""><span style=""font-weight: normal;"">Wie Oft</span></td> </tr> <tr style=""height: 109px;""> <td style=""width: 18.6275%; height: 109px;""> </td> <td style=""width: 19.281%; height: 109px;""><span style=""font-weight: normal;"">Bei Bedarf: An wieviel Tagen</span><br /><span style=""font-weight: normal;"">insgesamt seit dem letzten</span><br /><span style=""font-weight: normal;"">Geburtstag/Fragebogen?</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_1}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dose1}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_form1}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_days1}</span></td> <td style=""width: 18.6275%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_duration1}</span></td> <td style=""width: 19.281%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dur1_exact}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_2}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dose2}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_form2}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_days2}</span></td> <td style=""width: 18.6275%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_duration2}</span></td> <td style=""width: 19.281%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dur2_exact}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_3}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dose3}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_form3}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_days3}</span></td> <td style=""width: 18.6275%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_duration3}</span></td> <td style=""width: 19.281%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dur3_exact}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_4}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dose4}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_form4}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_days4}</span></td> <td style=""width: 18.6275%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_duration4}</span></td> <td style=""width: 19.281%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dur4_exact}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_5}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dose5}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_form5}</span></td> <td style=""width: 16.6667%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_days5}</span></td> <td style=""width: 18.6275%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_duration5}</span></td> <td style=""width: 19.281%; height: 21px;""><span style=""font-weight: normal;"">{postmed_other_dur5_exact}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
postmed_other,medikamentenbogen_postpartal,,radio,"Hat ihr Nahrungsergänzungsmittel ( Vitamine/Minerallien ) eingenommen?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_vit_d,medikamentenbogen_postpartal,,radio,"Vitamin D (z.B. Vigantoletten, D-Fluoretten, Dechristol)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_fluorid,medikamentenbogen_postpartal,,radio,Fluoridtabletten,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_vita,medikamentenbogen_postpartal,,radio,"Andere Vitamine/Mineralien ","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_1,medikamentenbogen_postpartal,,text,"Wie heißt das 1. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 1. Medikament'"
postmed_other_dose1,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?
",,"Die Tagesdosis ist die über den gesamten Tag verabreichte Dosis eines Medikaments.  Wurden z.B.  zwei Zäpfchen zu je 75 mg verabreicht, ergibt sich eine Tagesdosis von 150 mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_other_form1,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des 1.Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_other_days1,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 1.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_other_duration1,medikamentenbogen_postpartal,,radio,"Wie oft wird das 1.Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_other_dur1_exact,medikamentenbogen_postpartal,,text,"Wenn das 1.Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_other_2,medikamentenbogen_postpartal,,text,"Wie heißt das 2. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 2. Medikament'"
postmed_other_dose2,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_other_form2,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_other_days2,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 2.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_other_duration2,medikamentenbogen_postpartal,,radio,"Wie oft wird das Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_other_dur2_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_other_3,medikamentenbogen_postpartal,,text,"Wie heißt das 3. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 3. Medikament'"
postmed_other_dose3,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_other_form3,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des 3.Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_other_days3,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 3.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_other_duration3,medikamentenbogen_postpartal,,radio,"Wie oft wird das 3.Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_other_dur3_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_other_4,medikamentenbogen_postpartal,,text,"Wie heißt das 4. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 4. Medikament'"
postmed_other_dose4,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_other_form4,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_other_days4,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 4.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_other_duration4,medikamentenbogen_postpartal,,radio,"Wie oft wird das Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_other_dur4_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_other_5,medikamentenbogen_postpartal,,text,"Wie heißt das 5. Medikament?",,,,,,,,,,,,," @PLACEHOLDER = ' 5. Medikament'"
postmed_other_dose5,medikamentenbogen_postpartal,,text,"Wie hoch war die Tagesdosis?",,"möglichst in mg",,,,,,,,,,," @PLACEHOLDER = ' dosis in mg'"
postmed_other_form5,medikamentenbogen_postpartal,,text,"In welcher Darreichungsform wurde des Medikament verabreicht?",,"Zäpfchen, Tablette, Saft",,,,,,,,,,," @PLACEHOLDER = ' Darreichungsform '"
postmed_other_days5,medikamentenbogen_postpartal,,text,"Wie viel Tage hat ihr Kind das 5.Medikament eingenommen?",,"Dauer in Tage",,,,,,,,,,," @PLACEHOLDER = ' Tage '"
postmed_other_duration5,medikamentenbogen_postpartal,,radio,"Wie oft wird das Medikament verabreicht?","1, Einmalig | 2, Täglich | 3, Wöchentlich | 4, Monatlich | 5, Gelegentlich | 6, Bei Bedarf (seltener als 1x/Monat) | -99, Fehlende Antwort",,,,,,,,,,,,
postmed_other_dur5_exact,medikamentenbogen_postpartal,,text,"Wenn das Medikament bei Bedarf verabreicht wurde, an wieviel Tagen insgesamt seit dem letzten Geburtstag/Fragebogen?",,,integer,,,,,,,,,,
postmed_other_embed_2,medikamentenbogen_postpartal,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 427px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 42.4837%; height: 21px;"" colspan=""6"">10. Andere Medikamente </td> </tr> <tr style=""height: 21px;""> <td style=""width: 8.33335%; height: 21px;"" colspan=""3"">Abschwellende Nasensprays/Nasentropfen <span style=""font-weight: normal;""> (z.B. Olynth, Otriven, Nasic etc.)</span></td> <td style=""width: 0.816993%; height: 21px;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_drops}</span></td> </tr> <tr style=""height: 21px;""> <td style=""height: 21px;"" colspan=""3"">Meerwassernasenspray/Nasentropfen </td> <td style=""height: 21px;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_spray}</span></td> </tr> <tr style=""height: 21px;""> <td style=""height: 21px;"" colspan=""3"">Homöopathische Medikamente </td> <td style=""height: 21px;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_homeopathic}</span></td> </tr> <tr> <td style=""width: 8.33335%;"" colspan=""3""> <p>Andere Medikamente, die bislang nicht abgefragt wurden, ggf. welche?</p> <p><span style=""font-weight: normal;"">{postmed_other_6}</span></p> </td> <td style=""width: 0.816993%;"" colspan=""3""><span style=""font-weight: normal;"">{postmed_other_other}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
postmed_other_drops,medikamentenbogen_postpartal,,radio,"Abschwellende Nasensprays/Nasentropfen  (z.B. Olynth, Otriven)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_spray,medikamentenbogen_postpartal,,radio,"Meerwassernasenspray/Nasentropfen ","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_homeopathic,medikamentenbogen_postpartal,,radio,"Homöopathische Medikamente","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_other,medikamentenbogen_postpartal,,radio,"Andere Medikamente, die bislang nicht abgefragt wurden, ggf. welche?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
postmed_other_6,medikamentenbogen_postpartal,,text,"Gab es noch genommene Medikamente, die nicht gennant wurden? Welche ?",,,,,,,,,,,,,
kive_header,kindliches_befinden,,descriptive,"<div class=""rich-text-field-label""><p>Sie finden in diesem Fragebogen Beschreibungen kindlicher Verhaltensweisen. Geben Sie bitte für jede dieser  Verhaltensweisen an, wie oft sich Ihr Kind in der letzten Woche so verhalten hat. Die ""kam nicht vor"" Spalte sollten Sie ankreuzen, wenn Sie das Baby während der letzten Woche nicht in der  beschriebenen Situation beobachten konnten. Zum Beispiel, wenn die Situation, dass Ihr Baby auf sein Essen  warten musste, in der letzten Woche nicht vorgekommen ist. ""Kam nicht vor"" ist etwas anderes als ""nie"". ""Nie"" sollten Sie benutzen, wenn die Situation zwar vorkam, das Baby sich aber nie so wie beschrieben  verhalten hat: Zum Beispiel, wenn das Baby auf sein Essen warten musste, aber während des Wartens niemals  laut schrie. <br />Wobei :<br />0 - Kam nicht vor<br />1 - Nie<br />2 - Sehr selten<br />3 - Weniger als die Hälfte der Gelegenheiten<br />4 - Hälfte der Gelegenheiten<br />5 - Mehr als die Hälfte der Gelegenheiten<br />6 - Fast immer<br />7 - Immer<br />-99 - Fehlende Antwort</p> <p> </p></div>",,,,,,,,,,,,,
